"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"-","-","-","-","-","-","Calligraphy","Lunar Lantern Candle",1,1775
"-","-","-","-","-","-","Costumed Dog","Lunar Lantern Candle",6,531
"-","-","-","-","-","-","Costumed Horse","Lunar Lantern Candle",3,522
"-","-","-","-","-","-","Costumed Monkey","Lunar Lantern Candle",3,491
"-","-","-","-","-","-","Costumed Rooster","Lunar Lantern Candle",3,480
"-","-","-","-","-","-","Costumed Sheep","Lunar Lantern Candle",3,467
"-","-","-","-","-","-","Costumed Snake","Lunar Lantern Candle",2.9942748091603053,524
"-","-","-","-","-","-","Lunar Red Candle Maker","Red Lunar Lantern Candle",1,1336
"-","-","-","-","-","-","Red Envelope","Lunar Lantern Candle",1,1657
"-","-","-","-","-","-","Costumed Rabbit","Lunar Lantern Candle",3,516
"-","-","-","-","-","-","Costumed Tiger","Lunar Lantern Candle",3,541
"-","-","-","-","-","-","Costumed Dragon","Lunar Lantern Candle",3,528
"Town of Gnawnia","-","-","-","-","-","Bionic","Dumpling Cheese",0.7,10
"Town of Gnawnia","-","-","-","-","-","Brown","Dumpling Cheese",0.6842105263157895,19
"Town of Gnawnia","-","-","-","-","-","Diamond","Dumpling Cheese",0.07272727272727272,55
"Town of Gnawnia","-","-","-","-","-","Dwarf","Dumpling Cheese",0.5428571428571428,35
"Town of Gnawnia","-","-","-","-","-","Flying","Dumpling Cheese",0.075,80
"Town of Gnawnia","-","-","-","-","-","Gold","Dumpling Cheese",0.14583333333333334,48
"Town of Gnawnia","-","-","-","-","-","Granite","Dumpling Cheese",0.6153846153846154,13
"Town of Gnawnia","-","-","-","-","-","Grey","Dumpling Cheese",0.7857142857142857,14
"Town of Gnawnia","-","-","-","-","-","Longtail","Dumpling Cheese",0.16129032258064516,62
"Town of Gnawnia","-","-","-","-","-","Master Burglar","Dumpling Cheese",0.5,6
"Town of Gnawnia","-","-","-","-","-","Nibbler","Dumpling Cheese",1.3333333333333333,9
"Town of Gnawnia","-","-","-","-","-","Nibbler","Lunar Lantern Candle",1,9
"Town of Gnawnia","-","-","-","-","-","Steel","Dumpling Cheese",1.4,5
"Town of Gnawnia","-","-","-","-","-","White","Dumpling Cheese",1.0869565217391304,23
"Town of Gnawnia","-","-","-","-","-","Zombie","Dumpling Cheese",0.4,5
"Town of Gnawnia","-","-","-","-","-","Cowardly","Dumpling Cheese",0.23404255319148937,47
"Town of Gnawnia","-","-","-","-","-","Speedy","Dumpling Cheese",0.11538461538461539,52
