"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"-","-","-","-","-","-","Abominable Snow","Abominable Snow Egg",1,66
"-","-","-","-","-","-","Abominable Snow","Lucky Egg",0.015151515151515152,66
"-","-","-","-","-","-","Absolute Acolyte","Absolute Acolyte Egg",1,29
"-","-","-","-","-","-","Absolute Acolyte","Bristle Woods Rift Egg",0.1724137931034483,29
"-","-","-","-","-","-","Absolute Acolyte","Lucky Egg",0.034482758620689655,29
"-","-","-","-","-","-","Acolyte","Acolyte Egg",1,5
"-","-","-","-","-","-","Aether","Aether Egg",1,2
"-","-","-","-","-","-","Ascended Elder","Ascended Elder Egg",1,51
"-","-","-","-","-","-","Assassin","Assassin Egg",1,2
"-","-","-","-","-","-","Big Bad Burroughs","Big Bad Burroughs Egg",1,2
"-","-","-","-","-","-","Black Widow","Black Widow Egg",1,5
"-","-","-","-","-","-","Brown","Gnawnia Egg",0.2839506172839506,162
"-","-","-","-","-","-","Brown","Brown Egg",0.2777777777777778,162
"-","-","-","-","-","-","Burglar","Burglar Egg",0.6,10
"-","-","-","-","-","-","Chamber Cleaver","Chamber Cleaver Egg",1,58
"-","-","-","-","-","-","Chamber Cleaver","Bristle Woods Rift Egg",0.1206896551724138,58
"-","-","-","-","-","-","Cherry","Cherry Egg",1,1
"-","-","-","-","-","-","Cherry Sprite","Cherry Sprite Egg",1,4
"-","-","-","-","-","-","Chrono","Chrono Egg",1,2
"-","-","-","-","-","-","Hazmat","Clean Egg",1,1
"-","-","-","-","-","-","Cook","Cook Egg",1,1
"-","-","-","-","-","-","Corrupt","Corrupt Egg",0.5714285714285714,7
"-","-","-","-","-","-","Crate Camo","Crate Egg",0.2631578947368421,19
"-","-","-","-","-","-","Cute Crate Carrier","Crate Egg",0.4444444444444444,18
"-","-","-","-","-","-","Captain Croissant","Croissant Egg",1,8
"-","-","-","-","-","-","Crown Collector","Crown Collector Egg",1,5
"-","-","-","-","-","-","Crystal Behemoth","Crystal Behemoth Egg",1,20
"-","-","-","-","-","-","Cursed Librarian","Cursed Librarian Egg",0.16666666666666666,6
