"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Moussu Picchu","-","-","-","-","-","Breeze Borrower","Windy Potion",0.49017006392473766,8291
"Moussu Picchu","-","-","-","-","-","Cloud Collector","Rainy Potion",1,7170
"Moussu Picchu","-","-","-","-","-","Cloud Collector","Fire Bowl Fuel",0.25578800557880055,7170
"Moussu Picchu","-","-","-","-","-","Homeopathic Apothecary","Fire Bowl Fuel",2.0198797965788255,2163
"Moussu Picchu","-","-","-","-","-","Homeopathic Apothecary","Windy Potion",1.5104022191400832,2163
"Moussu Picchu","-","-","-","-","-","Homeopathic Apothecary","Rainy Potion",1.5006934812760055,2163
"Moussu Picchu","-","-","-","-","-","Nightshade Flower Girl","Nightshade",1,2192
"Moussu Picchu","-","-","-","-","Nightshade Farming Charm","Nightshade Flower Girl","Nightshade",2,2192
"Moussu Picchu","-","-","-","-","Super Nightshade Farming Charm","Nightshade Flower Girl","Nightshade",2,2192
"Moussu Picchu","-","-","-","-","-","Nightshade Maiden","Nightshade",1.5135135135135136,333
"Moussu Picchu","-","-","-","-","Nightshade Farming Charm","Nightshade Maiden","Nightshade",2.5135135135135136,333
"Moussu Picchu","-","-","-","-","Super Nightshade Farming Charm","Nightshade Maiden","Nightshade",2.5135135135135136,333
"Moussu Picchu","-","-","-","-","-","Nightshade Maiden","Cavern Fungus",7.948948948948949,333
"Moussu Picchu","-","-","-","-","-","Rainwater Purifier","Rainy Potion",0.4896567936060179,8508
"Moussu Picchu","-","-","-","-","-","Spore Salesman","Cavern Fungus",3.973071656777727,2191
"Moussu Picchu","-","-","-","-","-","Windy Farmer","Windy Potion",1,7264
"Moussu Picchu","-","-","-","-","-","Windy Farmer","Fire Bowl Fuel",0.2720264317180617,7264
"Moussu Picchu","-","-","-","-","-","Rain Collector","Shadowvine",0.4640561075394506,1711
"Moussu Picchu","-","-","-","-","-","Rain Wallower","Shadowvine",0.07053941908713693,2651
"Moussu Picchu","-","-","-","-","-","Rain Summoner","Shadowvine",0.8436415595019392,4899
"Moussu Picchu","-","-","-","-","-","Monsoon Maker","Shadowvine",2,13479
"Moussu Picchu","-","-","-","-","-","Rainmancer","Shadowvine",3.5011687363038715,13690
"Moussu Picchu","-","-","-","-","-","Rainmancer","Fire Bowl Fuel",0.29737034331628925,13690
"Moussu Picchu","-","-","-","-","-","Rainmancer","Dragonbane Charm",0.07173119065010956,13690
"Moussu Picchu","-","-","-","-","-","Charming Chimer","Arcanevine",0.4266666666666667,1800
"Moussu Picchu","-","-","-","-","-","Cycloness","Arcanevine",2,14207
"Moussu Picchu","-","-","-","-","-","Fluttering Flutist","Arcanevine",0.8497967479674797,4920
"Moussu Picchu","-","-","-","-","-","Wind Warrior","Arcanevine",3.5069093610698365,13460
"Moussu Picchu","-","-","-","-","-","Wind Warrior","Fire Bowl Fuel",0.3043090638930163,13460
"Moussu Picchu","-","-","-","-","-","Wind Warrior","Dragonbane Charm",0.07050520059435364,13460
"Moussu Picchu","-","-","-","-","-","Wind Watcher","Arcanevine",0.07331821617535904,2646
"Moussu Picchu","-","-","-","-","-","Dragoon","Mineral",3.4806451612903224,310
"Moussu Picchu","-","-","-","-","-","Dragoon","Dragon Scale",2.4806451612903224,310
"Moussu Picchu","-","-","-","-","-","Thunder Strike","Dragon Scale",0.19615384615384615,780
"Moussu Picchu","-","-","-","-","-","Thunder Strike","Mineral",0.19487179487179487,780
"Moussu Picchu","-","-","-","-","-","Thundering Watcher","Dragon Scale",0.5298455544733547,7187
"Moussu Picchu","-","-","-","-","-","Thundering Watcher","Mineral",0.37275636566021986,7187
"Moussu Picchu","-","-","-","-","-","Thunderlord","Dragon Scale",0.37964361220175175,3311
"Moussu Picchu","-","-","-","-","-","Thunderlord","Mineral",0.3844759891271519,3311
"Moussu Picchu","-","-","-","-","-","Violet Stormchild","Mineral",0.21626984126984128,504
"Moussu Picchu","-","-","-","-","-","Violet Stormchild","Dragon Scale",0.21626984126984128,504
"Moussu Picchu","-","-","-","-","-","Ful'Mina, The Mountain Queen","Dragon Scale",4.3848130003584656,33476
"Moussu Picchu","-","-","-","-","-","Ful'Mina, The Mountain Queen","Mineral",2.936641175767714,33476
"Moussu Picchu","-","-","-","-","-","Ful'Mina, The Mountain Queen","Ancient Relic",0.07378420360855538,33476
"Moussu Picchu","-","-","-","-","-","Ful'Mina, The Mountain Queen","Cavern Fungus",0.36258812283426933,33476
"Moussu Picchu","-","-","-","-","-","Ful'Mina, The Mountain Queen","Arcanevine",0.040088421555741424,33476
"Moussu Picchu","-","-","-","-","-","Ful'Mina, The Mountain Queen","Shadowvine",0.03608555382960927,33476
"Moussu Picchu","-","-","-","-","-","Ful'Mina, The Mountain Queen","Windy Potion",0.02407695065121281,33476
"Moussu Picchu","-","-","-","-","-","Ful'Mina, The Mountain Queen","Rainy Potion",0.024047078504002867,33476
"Moussu Picchu","-","-","-","-","-","Ful'Mina, The Mountain Queen","Glowing Gruyere Cheese",0.05842991994264548,33476
"Moussu Picchu","-","-","-","-","-","Ful'Mina, The Mountain Queen","Nightshade",0.012486557533755526,33476
