"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Queso River","-","-","-","-","-","Sleepy Merchant","Bland Queso",5,2663
"Queso River","-","-","-","-","-","Sleepy Merchant","Wild Tonic",0.25009387908374014,2663
"Prickly Plains","-","-","-","-","-","Spice Seer","Mild Spice Leaf",3.9992283950617282,5184
"Prickly Plains","-","-","-","-","-","Old Spice Collector","Mild Spice Leaf",1.2060660124888491,3363
"Prickly Plains","-","-","-","-","-","Spice Farmer","Medium Spice Leaf",3,3413
"Prickly Plains","-","-","-","-","-","Granny Spice","Medium Spice Leaf",0.9104294478527607,3260
"Prickly Plains","-","-","-","-","-","Spice Sovereign","Hot Spice Leaf",2,1540
"Prickly Plains","-","-","-","-","-","Spice Finder","Hot Spice Leaf",0.9178294573643411,1935
"Prickly Plains","-","-","-","-","-","Spice Raider","Flamin' Spice Leaf",1,287
"Prickly Plains","-","-","-","-","-","Spice Reaper","Flamin' Spice Leaf",0.7760814249363868,393
"Cantera Quarry","-","-","-","-","-","Chip Chiseler","Nachore",1,1394
"Cantera Quarry","-","-","-","-","-","Chip Chiseler","Wild Tonic",0.013629842180774749,1394
"Cantera Quarry","-","-","-","-","-","Tiny Toppler","Nachore",0.1896348645465253,849
"Cantera Quarry","-","-","-","-","-","Tiny Toppler","Wild Tonic",0.016489988221436984,849
"Cantera Quarry","-","-","-","-","-","Ore Chipper","Nachore",3,1945
"Cantera Quarry","-","-","-","-","-","Ore Chipper","Wild Tonic",0.019023136246786632,1945
"Cantera Quarry","-","-","-","-","-","Rubble Rummager","Nachore",1.483593329747176,1859
"Cantera Quarry","-","-","-","-","-","Rubble Rummager","Wild Tonic",0.01506186121570737,1859
"Cantera Quarry","-","-","-","-","-","Nachore Golem","Nachore",10,2639
"Cantera Quarry","-","-","-","-","-","Nachore Golem","Wild Tonic",0.023493747631678667,2639
"Cantera Quarry","-","-","-","-","-","Rubble Rouser","Nachore",3.773758430410791,1631
"Cantera Quarry","-","-","-","-","-","Rubble Rouser","Wild Tonic",0.010423053341508276,1631
"Cantera Quarry","-","-","-","-","-","Grampa Golem","Nachore",50,1410
"Cantera Quarry","-","-","-","-","-","Fiery Crusher","Nachore",17.99301242236025,1288
"-","-","-","-","-","-","Queen Quesada","Unstable Ember Gadget",1.0555555555555556,144
"-","-","-","-","-","-","Queen Quesada","Ancient Relic",0.5694444444444444,144
"-","-","-","-","-","-","Inferna, The Engulfed","Ember Root",1.667481662591687,409
"-","-","-","-","-","-","Inferna, The Engulfed","Medium Spice Leaf",0.9535452322738386,409
"-","-","-","-","-","-","Inferna, The Engulfed","Ancient Relic",0.26894865525672373,409
"-","-","-","-","-","-","Inferna, The Engulfed","Hot Spice Leaf",0.5232273838630807,409
"-","-","-","-","-","-","Inferna, The Engulfed","Mild Spice Leaf",0.5207823960880196,409
"-","-","-","-","-","-","Inferna, The Engulfed","Flamin' Spice Leaf",0.08801955990220049,409
"-","-","-","-","-","-","Nachous, The Molten","Ultimate Power Charm",1,613
"-","-","-","-","-","-","Nachous, The Molten","Nachore",110.22512234910278,613
"-","-","-","-","-","-","Nachous, The Molten","Ember Stone",1.701468189233279,613
"-","-","-","-","-","-","Nachous, The Molten","Magmatic Crystal Charm",0.9461663947797716,613
"-","-","-","-","-","-","Nachous, The Molten","Ancient Relic",0.0766721044045677,613
"-","-","-","-","-","-","Nachous, The Molten","Wild Tonic",0.08972267536704731,613
