"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"-","-","-","-","-","-","Chocolate Gold Foil","Eggstra Charge Charm",1,362
"-","-","-","-","-","-","Chocolate Overload","Eggscavator Charge Charm",0.5078740157480315,508
"-","-","-","-","-","-","Carefree Cook","Eggstra Charge Charm",1,312
"-","-","-","-","-","-","Carefree Cook","Eggscavator Charge Charm",3,312
"-","-","-","-","-","-","Egg Scrambler","Eggscavator Charge Charm",0.5420743639921722,511
"-","-","-","-","-","-","Onion Chopper","Eggstra Charge Charm",1,174
"-","-","-","-","-","-","Onion Chopper","Eggscavator Charge Charm",3,174
"-","-","-","-","-","-","Coco Commander","Eggscavator Charge Charm",0.6735074626865671,536
"-","-","-","-","-","-","Eggsplosive Scientist","Eggstra Charge Charm",1.3025210084033614,476
"-","-","-","-","-","-","Eggsplosive Scientist","Eggscavator Charge Charm",1.5819327731092436,476
"-","-","-","-","-","-","Eggscavator","Eggscavator Charge Charm",3,505
"-","-","-","-","-","-","Eggscavator","Eggstra Charge Charm",1.4,505
"-","-","-","-","-","-","Hare Razer","Eggstra Charge Charm",2,186
"-","-","-","-","-","-","Hare Razer","Eggscavator Charge Charm",3,186
"-","-","-","-","-","-","Pan Slammer","Eggstra Charge Charm",1,197
"-","-","-","-","-","-","Pan Slammer","Eggscavator Charge Charm",3,197
"Cape Clawed","-","-","-","-","-","Aged","Marshmallow Monterey",0.8,10
"Gnawnia Rift","-","-","-","-","-","Agitated Gentle Giant","Marshmallow Monterey",0.8024691358024691,81
"King's Gauntlet","-","-","-","-","-","Aquos","Marshmallow Monterey",0.7027027027027027,37
"Dojo","-","-","-","-","-","Archer","Marshmallow Monterey",0.625,32
"Dojo","-","-","-","-","-","Assassin","Marshmallow Monterey",1,3
"King's Gauntlet","-","-","-","-","-","Bandit","Marshmallow Monterey",0.5555555555555556,45
"Catacombs","-","-","-","-","-","Bat","Marshmallow Monterey",0.5714285714285714,14
"King's Gauntlet","-","-","-","-","-","Berserker","Marshmallow Monterey",0.5555555555555556,27
"Town of Digby","-","-","-","-","-","Big Bad Burroughs","Marshmallow Monterey",0.5,4
"Town of Gnawnia","-","-","-","-","-","Bionic","Marshmallow Monterey",0.4888888888888889,45
"Town of Digby","-","-","-","-","-","Bionic","Marshmallow Monterey",0.7,10
"Fungal Cavern","-","-","-","-","-","Bitter Root","Marshmallow Monterey",0.6470588235294118,34
