"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Burroughs Rift","Mist Level 0","Magical String","-","19.80%","Doktor",2278
"Burroughs Rift","Mist Level 0","Magical String","-","15.28%","Evil Scientist",2278
"Burroughs Rift","Mist Level 0","Magical String","-","15.19%","Portable Generator",2278
"Burroughs Rift","Mist Level 0","Magical String","-","15.14%","Surgeon Bot",2278
"Burroughs Rift","Mist Level 0","Magical String","-","10.58%","Automated Sentry",2278
"Burroughs Rift","Mist Level 0","Magical String","-","6.89%","Amplified White",2278
"Burroughs Rift","Mist Level 0","Magical String","-","5.58%","Amplified Brown",2278
"Burroughs Rift","Mist Level 0","Magical String","-","4.92%","Cybernetic Specialist",2278
"Burroughs Rift","Mist Level 0","Magical String","-","4.70%","Amplified Grey",2278
"Burroughs Rift","Mist Level 0","Magical String","-","1.89%","Rift Bio Engineer",2278
"Burroughs Rift","Mist Level 0","Magical String","-","0.04%","Tech Ravenous Zombie",2278
"Burroughs Rift","Mist Level 0","Brie String","-","20.62%","Evil Scientist",4317
"Burroughs Rift","Mist Level 0","Brie String","-","19.55%","Doktor",4317
"Burroughs Rift","Mist Level 0","Brie String","-","15.47%","Automated Sentry",4317
"Burroughs Rift","Mist Level 0","Brie String","-","14.36%","Surgeon Bot",4317
"Burroughs Rift","Mist Level 0","Brie String","-","8.87%","Rift Bio Engineer",4317
"Burroughs Rift","Mist Level 0","Brie String","-","6.25%","Amplified White",4317
"Burroughs Rift","Mist Level 0","Brie String","-","5.24%","Cybernetic Specialist",4317
"Burroughs Rift","Mist Level 0","Brie String","-","5.05%","Amplified Grey",4317
"Burroughs Rift","Mist Level 0","Brie String","-","4.59%","Amplified Brown",4317
"Burroughs Rift","Mist Level 0","Swiss String","-","21.15%","Cybernetic Specialist",624
"Burroughs Rift","Mist Level 0","Swiss String","-","18.59%","Rift Bio Engineer",624
"Burroughs Rift","Mist Level 0","Swiss String","-","13.62%","Automated Sentry",624
"Burroughs Rift","Mist Level 0","Swiss String","-","13.14%","Amplified Brown",624
"Burroughs Rift","Mist Level 0","Swiss String","-","11.38%","Surgeon Bot",624
"Burroughs Rift","Mist Level 0","Swiss String","-","6.09%","Evil Scientist",624
"Burroughs Rift","Mist Level 0","Swiss String","-","5.77%","Doktor",624
"Burroughs Rift","Mist Level 0","Swiss String","-","5.45%","Amplified White",624
"Burroughs Rift","Mist Level 0","Swiss String","-","4.81%","Amplified Grey",624
"Burroughs Rift","Mist Level 0","Marble String","-","22.11%","Amplified White",692
"Burroughs Rift","Mist Level 0","Marble String","-","21.39%","Rift Bio Engineer",692
"Burroughs Rift","Mist Level 0","Marble String","-","14.45%","Cybernetic Specialist",692
"Burroughs Rift","Mist Level 0","Marble String","-","13.29%","Amplified Brown",692
"Burroughs Rift","Mist Level 0","Marble String","-","9.97%","Amplified Grey",692
"Burroughs Rift","Mist Level 0","Marble String","-","5.35%","Doktor",692
"Burroughs Rift","Mist Level 0","Marble String","-","4.77%","Evil Scientist",692
