"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Bristle Woods Rift","Acolyte","Runic String","-","23.84%","Skeletal Champion",50105
"Bristle Woods Rift","Acolyte","Runic String","-","23.63%","Dread Knight",50105
"Bristle Woods Rift","Acolyte","Runic String","-","9.19%","Vigilant Ward",50105
"Bristle Woods Rift","Acolyte","Runic String","-","8.03%","Absolute Acolyte",50105
"Bristle Woods Rift","Acolyte","Runic String","-","7.73%","Portal Paladin",50105
"Bristle Woods Rift","Acolyte","Runic String","-","6.37%","Timelost Thaumaturge",50105
"Bristle Woods Rift","Acolyte","Runic String","-","5.45%","Timeslither Pythoness",50105
"Bristle Woods Rift","Acolyte","Runic String","-","5.35%","Shackled Servant",50105
"Bristle Woods Rift","Acolyte","Runic String","-","3.71%","Harbinger of Death",50105
"Bristle Woods Rift","Acolyte","Runic String","-","3.65%","Carrion Medium",50105
"Bristle Woods Rift","Acolyte","Runic String","-","2.32%","Timeless Lich",50105
"Bristle Woods Rift","Acolyte","Runic String","-","0.49%","Chronomaster",50105
"Bristle Woods Rift","Acolyte","Runic String","-","0.25%","Portal Pursuer",50105
"Bristle Woods Rift","Ancient Lab","Runic String","-","34.69%","Epoch Golem",2182
"Bristle Woods Rift","Ancient Lab","Runic String","-","24.52%","Chamber Cleaver",2182
"Bristle Woods Rift","Ancient Lab","Runic String","-","14.02%","Portal Plunderer",2182
"Bristle Woods Rift","Ancient Lab","Runic String","-","13.11%","Dread Knight",2182
"Bristle Woods Rift","Ancient Lab","Runic String","-","5.32%","Skeletal Champion",2182
"Bristle Woods Rift","Ancient Lab","Runic String","-","3.44%","Portal Paladin",2182
"Bristle Woods Rift","Ancient Lab","Runic String","-","2.15%","Clockwork Timespinner",2182
"Bristle Woods Rift","Ancient Lab","Runic String","-","1.10%","Record Keeper",2182
"Bristle Woods Rift","Ancient Lab","Runic String","-","0.82%","Record Keeper's Assistant",2182
"Bristle Woods Rift","Ancient Lab","Runic String","-","0.69%","Sentient Slime",2182
"Bristle Woods Rift","Ancient Lab","Runic String","-","0.14%","Portal Pursuer",2182
"Bristle Woods Rift","Entrance","Runic String","-","78.46%","Vigilant Ward",325
"Bristle Woods Rift","Entrance","Runic String","-","10.46%","Portal Paladin",325
"Bristle Woods Rift","Entrance","Runic String","-","3.69%","Portal Plunderer",325
"Bristle Woods Rift","Entrance","Runic String","-","3.08%","Skeletal Champion",325
"Bristle Woods Rift","Entrance","Runic String","-","3.08%","Epoch Golem",325
"Bristle Woods Rift","Entrance","Runic String","-","0.62%","Clockwork Timespinner",325
"Bristle Woods Rift","Entrance","Runic String","-","0.62%","Sentient Slime",325
"Bristle Woods Rift","Frozen Alcove","Runic String","-","54.74%","Sentient Slime",4344
"Bristle Woods Rift","Frozen Alcove","Runic String","-","38.56%","Dread Knight",4344
"Bristle Woods Rift","Frozen Alcove","Runic String","-","6.10%","Portal Paladin",4344
"Bristle Woods Rift","Frozen Alcove","Runic String","-","0.51%","Harbinger of Death",4344
"Bristle Woods Rift","Frozen Alcove","Runic String","-","0.09%","Portal Pursuer",4344
"Bristle Woods Rift","Gearworks","Runic String","-","37.37%","Dread Knight",2221
"Bristle Woods Rift","Gearworks","Runic String","-","25.17%","Chamber Cleaver",2221
"Bristle Woods Rift","Gearworks","Runic String","-","11.35%","Portal Plunderer",2221
"Bristle Woods Rift","Gearworks","Runic String","-","8.69%","Skeletal Champion",2221
"Bristle Woods Rift","Gearworks","Runic String","-","6.17%","Portal Paladin",2221
"Bristle Woods Rift","Gearworks","Runic String","-","4.14%","Clockwork Timespinner",2221
"Bristle Woods Rift","Gearworks","Runic String","-","3.29%","Sentient Slime",2221
"Bristle Woods Rift","Gearworks","Runic String","-","2.16%","Record Keeper",2221
"Bristle Woods Rift","Gearworks","Runic String","-","0.90%","Record Keeper's Assistant",2221
"Bristle Woods Rift","Gearworks","Runic String","-","0.27%","Timelost Thaumaturge",2221
"Bristle Woods Rift","Gearworks","Runic String","-","0.18%","Portal Pursuer",2221
"Bristle Woods Rift","Gearworks","Runic String","-","0.18%","Vigilant Ward",2221
"Bristle Woods Rift","Gearworks","Runic String","-","0.09%","Shackled Servant",2221
"Bristle Woods Rift","Gearworks","Runic String","-","0.05%","Harbinger of Death",2221
"Bristle Woods Rift","Guard Barracks","Runic String","-","65.36%","Portal Paladin",6785
"Bristle Woods Rift","Guard Barracks","Runic String","-","17.95%","Dread Knight",6785
"Bristle Woods Rift","Guard Barracks","Runic String","-","13.43%","Epoch Golem",6785
"Bristle Woods Rift","Guard Barracks","Runic String","-","2.05%","Clockwork Timespinner",6785
"Bristle Woods Rift","Guard Barracks","Runic String","-","1.06%","Sentient Slime",6785
"Bristle Woods Rift","Guard Barracks","Runic String","-","0.15%","Portal Pursuer",6785
"Bristle Woods Rift","Hidden Treasury","Runic String","-","27.20%","Timeless Lich",842
