"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Bristle Woods Rift","Acolyte (Pursued)","Runic String","-","34.48%","Portal Paladin",29
"Bristle Woods Rift","Acolyte (Pursued)","Runic String","-","31.03%","Portal Pursuer",29
"Bristle Woods Rift","Acolyte (Pursued)","Runic String","-","10.34%","Absolute Acolyte",29
"Bristle Woods Rift","Acolyte (Pursued)","Runic String","-","6.90%","Vigilant Ward",29
"Bristle Woods Rift","Acolyte (Pursued)","Runic String","-","3.45%","Timeless Lich",29
"Bristle Woods Rift","Acolyte (Pursued)","Runic String","-","3.45%","Dread Knight",29
"Bristle Woods Rift","Acolyte (Pursued)","Runic String","-","3.45%","Shackled Servant",29
"Bristle Woods Rift","Acolyte (Pursued)","Runic String","-","3.45%","Skeletal Champion",29
"Bristle Woods Rift","Acolyte (Pursued)","Runic String","-","3.45%","Timelost Thaumaturge",29
"Bristle Woods Rift","Ancient Lab (Pursued)","Runic String","-","37.50%","Epoch Golem",24
"Bristle Woods Rift","Ancient Lab (Pursued)","Runic String","-","20.83%","Portal Pursuer",24
"Bristle Woods Rift","Ancient Lab (Pursued)","Runic String","-","16.67%","Chamber Cleaver",24
"Bristle Woods Rift","Ancient Lab (Pursued)","Runic String","-","8.33%","Portal Plunderer",24
"Bristle Woods Rift","Ancient Lab (Pursued)","Runic String","-","4.17%","Dread Knight",24
"Bristle Woods Rift","Ancient Lab (Pursued)","Runic String","-","4.17%","Record Keeper's Assistant",24
"Bristle Woods Rift","Ancient Lab (Pursued)","Runic String","-","4.17%","Portal Paladin",24
"Bristle Woods Rift","Ancient Lab (Pursued)","Runic String","-","4.17%","Clockwork Timespinner",24
"Bristle Woods Rift","Frozen Alcove (Pursued)","Runic String","-","47.06%","Dread Knight",34
"Bristle Woods Rift","Frozen Alcove (Pursued)","Runic String","-","29.41%","Sentient Slime",34
"Bristle Woods Rift","Frozen Alcove (Pursued)","Runic String","-","11.76%","Portal Pursuer",34
"Bristle Woods Rift","Frozen Alcove (Pursued)","Runic String","-","8.82%","Portal Paladin",34
"Bristle Woods Rift","Frozen Alcove (Pursued)","Runic String","-","2.94%","Harbinger of Death",34
"Bristle Woods Rift","Gearworks (Pursued)","Runic String","-","46.88%","Dread Knight",32
"Bristle Woods Rift","Gearworks (Pursued)","Runic String","-","21.88%","Chamber Cleaver",32
"Bristle Woods Rift","Gearworks (Pursued)","Runic String","-","12.50%","Portal Pursuer",32
"Bristle Woods Rift","Gearworks (Pursued)","Runic String","-","6.25%","Portal Paladin",32
"Bristle Woods Rift","Gearworks (Pursued)","Runic String","-","6.25%","Portal Plunderer",32
"Bristle Woods Rift","Gearworks (Pursued)","Runic String","-","6.25%","Skeletal Champion",32
"Bristle Woods Rift","Guard Barracks (Pursued)","Runic String","-","54.29%","Portal Paladin",35
"Bristle Woods Rift","Guard Barracks (Pursued)","Runic String","-","20.00%","Dread Knight",35
