"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Town of Gnawnia","-","Dumpling","-","10.46%","Flying",564
"Town of Gnawnia","-","Dumpling","-","9.22%","Calligraphy",564
"Town of Gnawnia","-","Dumpling","-","8.51%","Longtail",564
"Town of Gnawnia","-","Dumpling","-","8.16%","Pugilist",564
"Town of Gnawnia","-","Dumpling","-","7.45%","Dumpling Chef",564
"Town of Gnawnia","-","Dumpling","-","6.91%","Diamond",564
"Town of Gnawnia","-","Dumpling","-","6.91%","Speedy",564
"Town of Gnawnia","-","Dumpling","-","6.38%","Gold",564
"Town of Gnawnia","-","Dumpling","-","6.03%","Red Envelope",564
"Town of Gnawnia","-","Dumpling","-","3.37%","Cowardly",564
"Town of Gnawnia","-","Dumpling","-","3.01%","Costumed Rabbit",564
"Town of Gnawnia","-","Dumpling","-","2.30%","Costumed Tiger",564
"Town of Gnawnia","-","Dumpling","-","2.30%","Costumed Dog",564
"Town of Gnawnia","-","Dumpling","-","1.95%","Costumed Dragon",564
"Town of Gnawnia","-","Dumpling","-","1.95%","Costumed Sheep",564
"Town of Gnawnia","-","Dumpling","-","1.77%","Costumed Rooster",564
"Town of Gnawnia","-","Dumpling","-","1.60%","Costumed Snake",564
"Town of Gnawnia","-","Dumpling","-","1.24%","Costumed Horse",564
"Town of Gnawnia","-","Dumpling","-","1.06%","Costumed Monkey",564
"Great Gnarled Tree","-","Dumpling","-","9.74%","Dumpling Chef",380
"Great Gnarled Tree","-","Dumpling","-","9.74%","Calligraphy",380
"Great Gnarled Tree","-","Dumpling","-","6.84%","Centaur",380
"Great Gnarled Tree","-","Dumpling","-","6.32%","Red Envelope",380
"Great Gnarled Tree","-","Dumpling","-","4.74%","Fairy",380
"Great Gnarled Tree","-","Dumpling","-","3.68%","Frog",380
"Great Gnarled Tree","-","Dumpling","-","3.16%","Costumed Horse",380
"Great Gnarled Tree","-","Dumpling","-","3.16%","Costumed Dog",380
"Great Gnarled Tree","-","Dumpling","-","2.89%","Bear",380
"Great Gnarled Tree","-","Dumpling","-","2.63%","Chameleon",380
"Great Gnarled Tree","-","Dumpling","-","2.63%","Costumed Snake",380
"Great Gnarled Tree","-","Dumpling","-","2.37%","Foxy",380
