"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Furoma Rift","Training Grounds","Maki String","-","25.54%","Shinobi",552
"Furoma Rift","Training Grounds","Maki String","-","20.83%","Armored Archer",552
"Furoma Rift","Training Grounds","Maki String","-","12.32%","Dumpling Delivery",552
"Furoma Rift","Training Grounds","Maki String","-","11.23%","Enlightened Labourer",552
"Furoma Rift","Training Grounds","Maki String","-","10.51%","Wealth",552
"Furoma Rift","Training Grounds","Maki String","-","10.51%","Raw Diamond",552
"Furoma Rift","Training Grounds","Maki String","-","3.62%","Shaolin Kung Fu",552
"Furoma Rift","Training Grounds","Maki String","-","2.90%","Wandering Monk",552
"Furoma Rift","Training Grounds","Maki String","-","2.54%","Militant Samurai",552
"Furoma Rift","Training Grounds","Magical String","-","22.82%","Dumpling Delivery",1310
"Furoma Rift","Training Grounds","Magical String","-","21.60%","Armored Archer",1310
"Furoma Rift","Training Grounds","Magical String","-","20.84%","Shinobi",1310
"Furoma Rift","Training Grounds","Magical String","-","11.07%","Wealth",1310
"Furoma Rift","Training Grounds","Magical String","-","9.92%","Raw Diamond",1310
"Furoma Rift","Training Grounds","Magical String","-","4.58%","Enlightened Labourer",1310
"Furoma Rift","Training Grounds","Magical String","-","3.66%","Wandering Monk",1310
"Furoma Rift","Training Grounds","Magical String","-","3.59%","Shaolin Kung Fu",1310
"Furoma Rift","Training Grounds","Magical String","-","1.91%","Militant Samurai",1310
"Furoma Rift","Training Grounds","Brie String","-","24.74%","Armored Archer",13798
"Furoma Rift","Training Grounds","Brie String","-","23.79%","Dumpling Delivery",13798
"Furoma Rift","Training Grounds","Brie String","-","22.34%","Shinobi",13798
"Furoma Rift","Training Grounds","Brie String","-","8.18%","Raw Diamond",13798
"Furoma Rift","Training Grounds","Brie String","-","5.19%","Wealth",13798
"Furoma Rift","Training Grounds","Brie String","-","4.66%","Rift Guardian",13798
"Furoma Rift","Training Grounds","Brie String","-","4.18%","Shaolin Kung Fu",13798
"Furoma Rift","Training Grounds","Brie String","-","2.94%","Wandering Monk",13798
"Furoma Rift","Training Grounds","Brie String","-","2.07%","Enlightened Labourer",13798
