"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Festive Comet","Snow (1)","Gouda","-","17.39%","Hoarder",230
"Festive Comet","Snow (1)","Gouda","-","10.00%","Snowball Hoarder",230
"Festive Comet","Snow (1)","Gouda","-","8.70%","Wreath Thief",230
"Festive Comet","Snow (1)","Gouda","-","7.39%","Toy Tinkerer",230
"Festive Comet","Snow (1)","Gouda","-","6.52%","Toboggan Technician",230
"Festive Comet","Snow (1)","Gouda","-","6.52%","Missile Toe",230
"Festive Comet","Snow (1)","Gouda","-","6.09%","Toy",230
"Festive Comet","Snow (1)","Gouda","-","5.65%","Stocking",230
"Festive Comet","Snow (1)","Gouda","-","4.78%","Snow Boulder",230
"Festive Comet","Snow (1)","Gouda","-","4.78%","Ribbon",230
"Festive Comet","Snow (1)","Gouda","-","4.35%","Gingerbread",230
"Festive Comet","Snow (1)","Gouda","-","3.91%","Triple Lutz",230
"Festive Comet","Snow (1)","Gouda","-","3.48%","Nutcracker",230
"Festive Comet","Snow (1)","Gouda","-","3.04%","Destructoy",230
"Festive Comet","Snow (1)","Gouda","-","2.17%","Christmas Tree",230
"Festive Comet","Snow (1)","Gouda","-","1.74%","Sporty Ski Instructor",230
"Festive Comet","Snow (1)","Gouda","-","1.30%","Candy Cane",230
"Festive Comet","Snow (1)","Gouda","-","1.30%","Young Prodigy Racer",230
"Festive Comet","Snow (1)","Gouda","-","0.87%","Ridiculous Sweater",230
"Festive Comet","Snow (1)","Gouda","Winter","15.76%","Hoarder",165
"Festive Comet","Snow (1)","Gouda","Winter","9.09%","Snowflake",165
"Festive Comet","Snow (1)","Gouda","Winter","9.09%","Wreath Thief",165
"Festive Comet","Snow (1)","Gouda","Winter","7.88%","Ribbon",165
"Festive Comet","Snow (1)","Gouda","Winter","6.67%","Missile Toe",165
"Festive Comet","Snow (1)","Gouda","Winter","6.06%","Gingerbread",165
"Festive Comet","Snow (1)","Gouda","Winter","5.45%","Toy Tinkerer",165
"Festive Comet","Snow (1)","Gouda","Winter","5.45%","Ridiculous Sweater",165
"Festive Comet","Snow (1)","Gouda","Winter","4.24%","Toy",165
"Festive Comet","Snow (1)","Gouda","Winter","4.24%","Destructoy",165
"Festive Comet","Snow (1)","Gouda","Winter","3.64%","Toboggan Technician",165
"Festive Comet","Snow (1)","Gouda","Winter","3.64%","Snow Boulder",165
"Festive Comet","Snow (1)","Gouda","Winter","3.64%","Triple Lutz",165
"Festive Comet","Snow (1)","Gouda","Winter","3.03%","Snowball Hoarder",165
"Festive Comet","Snow (1)","Gouda","Winter","2.42%","Stocking",165
"Festive Comet","Snow (1)","Gouda","Winter","2.42%","Nutcracker",165
"Festive Comet","Snow (1)","Gouda","Winter","2.42%","Sporty Ski Instructor",165
"Festive Comet","Snow (1)","Gouda","Winter","1.82%","Christmas Tree",165
"Festive Comet","Snow (1)","Gouda","Winter","1.21%","Miser",165
"Festive Comet","Snow (1)","Gouda","Winter","1.21%","Candy Cane",165
"Festive Comet","Snow (1)","Gouda","Winter","0.61%","Young Prodigy Racer",165
"Festive Comet","Snow (1)","Pecan Pecorino","-","23.72%","Snow Scavenger",1092
"Festive Comet","Snow (1)","Pecan Pecorino","-","10.81%","Snowblower",1092
"Festive Comet","Snow (1)","Pecan Pecorino","-","7.78%","Builder",1092
"Festive Comet","Snow (1)","Pecan Pecorino","-","5.31%","Reinbo",1092
"Festive Comet","Snow (1)","Pecan Pecorino","-","5.22%","Snow Fort",1092
"Festive Comet","Snow (1)","Pecan Pecorino","-","5.13%","Snowglobe",1092
"Festive Comet","Snow (1)","Pecan Pecorino","-","4.85%","Stuck Snowball",1092
"Festive Comet","Snow (1)","Pecan Pecorino","-","4.49%","Nice Knitting",1092
"Festive Comet","Snow (1)","Pecan Pecorino","-","4.30%","Elf",1092
"Festive Comet","Snow (1)","Pecan Pecorino","-","3.85%","Snow Sorceress",1092
"Festive Comet","Snow (1)","Pecan Pecorino","-","3.57%","Great Winter Hunt Impostor",1092
"Festive Comet","Snow (1)","Pecan Pecorino","-","3.57%","Slay Ride",1092
