"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Queso River","-","Gouda","-","34.51%","Pump Raider",15771
"Queso River","-","Gouda","-","30.28%","Tiny Saboteur",15771
"Queso River","-","Gouda","-","30.23%","Queso Extractor",15771
"Queso River","-","Gouda","-","4.99%","Croquet Crusher",15771
"Queso River","-","Brie","-","35.95%","Pump Raider",1032
"Queso River","-","Brie","-","30.23%","Tiny Saboteur",1032
"Queso River","-","Brie","-","29.26%","Queso Extractor",1032
"Queso River","-","Brie","-","4.55%","Croquet Crusher",1032
"Queso River","-","SB+","-","31.25%","Tiny Saboteur",10861
"Queso River","-","SB+","-","29.11%","Pump Raider",10861
"Queso River","-","SB+","-","24.44%","Sleepy Merchant",10861
"Queso River","-","SB+","-","9.56%","Queso Extractor",10861
"Queso River","-","SB+","-","5.64%","Croquet Crusher",10861
"Queso River","-","Wildfire Queso","-","100.00%","Queen Quesada",212
